Symbol	chrom	start	end	entrez_id
A1BG	chr19	58345178	58362751	1
NAT2	chr8	18391245	18401218	10
ADA	chr20	44619522	44651742	100
CDH2	chr18	27950966	28177446	1000
LINC02584	chr11	70072434	70075433	100009613
ZBTB11-AS1	chr3	101676475	101679217	100009676
MED6	chr14	70581257	70641204	10001
NR2E3	chr15	71792638	71818259	10002
NAALAD2	chr11	90131515	90192894	10003
SNORD116-1	chr15	25051477	25051571	100033413
SNORD116-2	chr15	25054210	25065121	100033414
SNORD116-3	chr15	25056860	25073201	100033415
SNORD116-4	chr15	25059538	25059633	100033416
SNORD116-5	chr15	25062333	25067882	100033417
SNORD116-8	chr15	25070432	25070526	100033420
SNORD116-10	chr15	25074114	25074215	100033422
SNORD116-11	chr15	25075929	25076020	100033423
SNORD116-12	chr15	25077051	25077142	100033424
SNORD116-13	chr15	25079058	25079149	100033425
SNORD116-14	chr15	25080142	25080233	100033426
SNORD116-15	chr15	25081287	25081378	100033427
SNORD116-16	chr15	25082768	25082859	100033428
SNORD116-18	chr15	25085385	25085476	100033430
SNORD116-20	chr15	25087661	25088896	100033431
SNORD116-21	chr15	25088804	25088895	100033432
SNORD116-22	chr15	25089923	25090014	100033433
SNORD116-23	chr15	25091786	25091877	100033434
SNORD116-24	chr15	25094037	25094128	100033435
SNORD116-25	chr15	25097663	25097754	100033436
SNORD115-2	chr15	25172635	25172716	100033437
SNORD116-26	chr15	25099499	25099594	100033438
SNORD116-27	chr15	25101575	25101666	100033439
SNORD115-3	chr15	25174927	25175008	100033440
SNORD115-4	chr15	25176832	25176913	100033441
SNORD115-5	chr15	25178738	25178819	100033442
SNORD115-6	chr15	25180497	25180578	100033443
SNORD115-7	chr15	25182385	25182466	100033444
SNORD115-8	chr15	25184306	25184387	100033445
SNORD115-9	chr15	25185631	25191497	100033446
SNORD115-10	chr15	25187536	25247426	100033447
SNORD115-11	chr15	25189414	25249279	100033448
SNORD115-13	chr15	25193321	25193402	100033450
SNORD115-14	chr15	25194921	25195001	100033451
SNORD115-15	chr15	25197576	25197656	100033453
SNORD115-16	chr15	25199448	25199529	100033454
SNORD115-17	chr15	25201323	25204438	100033455
SNORD115-20	chr15	25206262	25206343	100033460
SNORD115-21	chr15	25243614	25243695	100033603
SNORD115-22	chr15	25209918	25209999	100033799
SNORD115-23	chr15	25211796	25211877	100033800
SNORD115-25	chr15	25215541	25215622	100033801
SNORD115-26	chr15	25218617	25218698	100033802
SNORD115-30	chr15	25225203	25225284	100033804
SNORD115-31	chr15	25227109	25227190	100033805
SNORD115-32	chr15	25228967	25229048	100033806
SNORD115-33	chr15	25230838	25230919	100033807
SNORD115-34	chr15	25232387	25232468	100033808
SNORD115-35	chr15	25234247	25234328	100033809
SNORD115-37	chr15	25237986	25238067	100033811
SNORD115-38	chr15	25239838	25239919	100033812
SNORD115-39	chr15	25241746	25241827	100033813
SNORD115-41	chr15	25245478	25245559	100033815
SNORD115-44	chr15	25250859	25250940	100033818
SNORD116-28	chr15	25104642	25104732	100033820
SNORD116-29	chr15	25106521	25106603	100033821
SNORD115-48	chr15	25269783	25269858	100033822
PDZK1P1	chr1	147993862	148014956	100034743
SNORD115-24	chr15	25213648	25213729	100036563
SNORD115-27	chr15	25220497	25220578	100036564
SNORD115-28	chr15	25222348	25222428	100036565
SNORD115-45	chr15	25264510	25264590	100036566
SNORD115-47	chr15	25268466	25268551	100036567
